------------+----------------+--------------+---------------------------------+---------------------+------------------+--------------------------+--------------------------+-----------------+--------------+--------------------------+-------------
 postgresql | relief_tracker | public       | accounts_user                   | is_active           |               10 | boolean                  |                          |                 |              |                          |
 postgresql | relief_tracker | public       | accounts_user                   | platform            |               12 | character varying        |                       10 |                 |              |                          |
 postgresql | relief_tracker | public       | accounts_user                   | date_joined         |               11 | timestamp with time zone |                          |                 |              |                          |
 postgresql | relief_tracker | public       | donation_donation               | modified_at         |                3 | timestamp with time zone |                          |                 |              |                          |
 postgresql | relief_tracker | public       | donation_donateddistrict        | description         |                7 | text                     |                          |                 |              |                          |
 postgresql | relief_tracker | public       | location_division               | name                |                4 | character varying        |                      100 |                 |              |                          |
 postgresql | relief_tracker | public       | donation_donation               | videos              |               11 | jsonb                    |                          |                 |              |                          |
 postgresql | relief_tracker | public       | donation_donateditems           | unit                |                6 | character varying        |                      100 |                 |              |                          |
 postgresql | relief_tracker | public       | donation_donateditems           | created_at          |                2 | timestamp with time zone |                          |                 |              |                          |
 postgresql | relief_tracker | public       | donation_donatedupazila         | description         |                7 | text                     |                          |                 |              |                          |
 postgresql | relief_tracker | public       | accounts_user                   | is_superuser        |                4 | boolean                  |                          |                 |              |                          |
 postgresql | relief_tracker | public       | disaster_disasterimage          | image               |                4 | character varying        |                      100 |                 |              |                          |
 postgresql | relief_tracker | public       | location_union                  | bangla_name         |                6 | character varying        |                      100 |                 |              |                          |
 postgresql | relief_tracker | public       | donation_otherdonatedlocation   | latitude            |                7 | double precision         |                          |                 |              |                          |
 postgresql | relief_tracker | public       | location_district               | created_at          |                2 | timestamp with time zone |                          |                 |              |                          |
 postgresql | relief_tracker | public       | location_upazila                | created_at          |                2 | timestamp with time zone |                          |                 |              |                          |
 postgresql | relief_tracker | public       | disaster_disasterimage          | modified_at         |                3 | timestamp with time zone |                          |                 |              |                          |
 postgresql | relief_tracker | public       | disaster_otheraffectedlocations | latitude            |                7 | double precision         |                          |                 |              |                          |
 postgresql | relief_tracker | public       | media_center_mediacenter        | modified_at         |                3 | timestamp with time zone |                          |                 |              |                          |
 postgresql | relief_tracker | public       | disaster_disaster               | end_time            |                7 | timestamp with time zone |                          |                 |              |                          |
 postgresql | relief_tracker | public       | donation_donation               | description         |                5 | text                     |                          |                 |              |                          |
 postgresql | relief_tracker | public       | donation_donateddistrict        | modified_at         |                3 | timestamp with time zone |                          |                 |              |                          |
 postgresql | relief_tracker | public       | donation_donatedunion           | donated_people      |                4 | integer                  |                          |                 |              |                          |
 postgresql | relief_tracker | public       | location_division               | created_at          |                2 | timestamp with time zone |                          |                 |              |                          |
 postgresql | relief_tracker | public       | disaster_disaster               | modified_at         |                3 | timestamp with time zone |                          |                 |              |                          |
 postgresql | relief_tracker | public       | donation_donation               | images              |               10 | jsonb                    |                          |                 |              |                          |
 postgresql | relief_tracker | public       | disaster_otheraffectedlocations | longitude           |                8 | double precision         |                          |                 |              |                          |
 postgresql | relief_tracker | public       | location_union                  | modified_at         |                3 | timestamp with time zone |                          |                 |              |                          |
 postgresql | relief_tracker | public       | disaster_affecteddistrict       | modified_at         |                3 | timestamp with time zone |                          |                 |              |                          |
 postgresql | relief_tracker | public       | disaster_affectedunion          | created_at          |                2 | timestamp with time zone |                          |                 |              |                          |
 postgresql | relief_tracker | public       | disaster_otheraffectedlocations | affected_people     |                5 | integer                  |                          |                 |              |                          |
 postgresql | relief_tracker | public       | donation_otherdonatedlocation   | longitude           |                8 | double precision         |                          |                 |              |                          |
 postgresql | relief_tracker | public       | disaster_affectedupazila        | affected_people     |                4 | integer                  |                          |                 |              |                          |
 postgresql | relief_tracker | public       | disaster_disaster               | title               |                4 | character varying        |                      100 |                 |              |                          |
 postgresql | relief_tracker | public       | location_upazila                | bangla_name         |                6 | character varying        |                      100 |                 |              |                          |
 postgresql | relief_tracker | public       | donation_donatedunion           | description         |                7 | text                     |                          |                 |              |                          |
 postgresql | relief_tracker | public       | django_session                  | expire_date         |                3 | timestamp with time zone |                          |                 |              |                          |
 postgresql | relief_tracker | public       | django_migrations               | applied             |                4 | timestamp with time zone |                          |                 |              |                          |
 postgresql | relief_tracker | public       | accounts_user                   | is_staff            |                9 | boolean                  |                          |                 |              |                          |
 postgresql | relief_tracker | public       | location_division               | modified_at         |                3 | timestamp with time zone |                          |                 |              |                          |
 postgresql | relief_tracker | public       | disaster_disaster               | created_at          |                2 | timestamp with time zone |                          |                 |              |                          |
 postgresql | relief_tracker | public       | donation_otherdonatedlocation   | donated_people      |                5 | integer                  |                          |                 |              |                          |
 postgresql | relief_tracker | public       | django_admin_log                | object_repr         |                4 | character varying        |                      200 |                 |              |                          |
 postgresql | relief_tracker | public       | donation_donation               | state               |                7 | character varying        |                       31 |                 |              |                          |
 postgresql | relief_tracker | public       | donation_donation               | documents           |                9 | jsonb                    |                          |                 |              |                          |
 postgresql | relief_tracker | public       | disaster_affectedunion          | modified_at         |                3 | timestamp with time zone |                          |                 |              |                          |
 postgresql | relief_tracker | public       | location_union                  | created_at          |                2 | timestamp with time zone |                          |                 |              |                          |
 postgresql | relief_tracker | public       | location_district               | bangla_name         |                5 | character varying        |                      100 |                 |              |                          |
 postgresql | relief_tracker | public       | disaster_affecteddistrict       | created_at          |                2 | timestamp with time zone |                          |                 |              |                          |
 postgresql | relief_tracker | public       | django_admin_log                | object_id           |                3 | text                     |                          |                 |              |                          |
 postgresql | relief_tracker | public       | media_center_mediacenter        | created_at          |                2 | timestamp with time zone |                          |                 |              |                          |
 postgresql | relief_tracker | public       | location_upazila                | modified_at         |                3 | timestamp with time zone |                          |                 |              |                          |
 postgresql | relief_tracker | public       | donation_donatedupazila         | donated_people      |                4 | integer                  |                          |                 |              |                          |
 postgresql | relief_tracker | public       | disaster_disasterimage          | created_at          |                2 | timestamp with time zone |                          |                 |              |                          |
 postgresql | relief_tracker | public       | accounts_user                   | last_name           |                7 | character varying        |                      150 |                 |              |                          |
 postgresql | relief_tracker | public       | donation_donateddistrict        | created_at          |                2 | timestamp with time zone |                          |                 |              |                          |
 postgresql | relief_tracker | public       | media_center_mediacenter        | title               |                4 | character varying        |                      255 |                 |              |                          |
 postgresql | relief_tracker | public       | auth_permission                 | name                |                2 | character varying        |                      255 |                 |              |                          |
 postgresql | relief_tracker | public       | location_division               | bangla_name         |                5 | character varying        |                      100 |                 |              |                          |
 postgresql | relief_tracker | public       | donation_donateditems           | modified_at         |                3 | timestamp with time zone |                          |                 |              |                          |
 postgresql | relief_tracker | public       | location_district               | modified_at         |                3 | timestamp with time zone |                          |                 |              |                          |
 postgresql | relief_tracker | public       | accounts_user                   | user_type           |               13 | character varying        |                       31 |                 |              |                          |
